,M,S,I,R,Total,Rep
0.03338417934831028,57,240,4,701,1002,11
0.03391763862148592,58,240,4,701,1003,11
0.03481281459912929,58,240,3,702,1003,11
0.0350740848149219,58,239,4,702,1003,11
0.03566015417059358,58,239,3,703,1003,11
0.03657337192739192,58,239,2,704,1003,11
0.03662408043671179,59,239,2,704,1004,11
0.03662972716561441,59,239,2,703,1003,11
0.04012291090462483,59,239,2,702,1002,11
0.04019992835736072,59,239,1,703,1002,11
0.04085854200331074,59,239,1,702,1001,11
0.048742771218729865,59,238,2,702,1001,11
0.050165437280912696,60,238,2,702,1002,11
0.0503813792515525,61,238,2,702,1003,11
0.0517211272637131,62,238,2,702,1004,11
0.052534021157189636,63,238,2,702,1005,11
0.053079861359210716,64,238,2,702,1006,11
0.054056607721996844,64,237,3,702,1006,11
0.05574958814269345,64,236,4,702,1006,11
0.05827024764948267,64,236,3,703,1006,11
0.058768241330229294,64,237,3,703,1007,11
0.059907747379797906,65,237,3,703,1008,11
0.061732920997621815,66,237,3,703,1009,11
0.062295208606820265,67,237,3,703,1010,11
0.062417573183340694,67,236,4,703,1010,11
0.0626125434935169,67,235,5,703,1010,11
0.06275787175690492,68,235,5,703,1011,11
0.0629139924710218,68,234,6,703,1011,11
0.0641384938238371,68,233,7,703,1011,11
0.06442164288301357,68,232,8,703,1011,11
0.06614785713731962,67,232,8,703,1010,11
0.0684549865250125,67,231,9,703,1010,11
0.06851536506547269,67,230,10,703,1010,11
0.06965787463167152,67,229,11,703,1010,11
0.06993570316364559,67,229,10,704,1010,11
0.06999724620037284,67,229,10,703,1009,11
0.07,66,230,10,703,1009,11
0.0713808942015672,66,230,9,704,1009,11
0.0718508130379848,66,230,8,705,1009,11
0.0722636797670923,66,229,9,705,1009,11
0.07226964248665711,67,229,9,705,1010,11
0.07227954170653134,67,229,8,706,1010,11
0.07262500237703345,67,228,9,706,1010,11
0.07311796011471185,67,227,10,706,1010,11
0.07366740465218624,67,227,9,707,1010,11
0.07416867585643672,66,227,9,707,1009,11
0.07469227890330983,66,226,10,707,1009,11
0.07550225259950283,66,226,9,708,1009,11
0.07585235033358657,65,226,9,708,1008,11
0.07612167356037378,65,226,8,709,1008,11
0.0768716716122779,66,226,8,709,1009,11
0.07697445021981775,66,226,7,710,1009,11
0.07777896242422581,66,226,6,711,1009,11
0.07852979511619108,66,226,5,712,1009,11
0.07873000058030734,66,226,4,713,1009,11
0.07902913689846916,66,226,3,714,1009,11
0.08019524299851738,66,226,2,715,1009,11
0.08111624971068618,67,226,2,715,1010,11
0.08280916519921366,67,225,2,715,1009,11
0.08333517855743096,67,224,3,715,1009,11
0.084489861431411,67,224,2,716,1009,11
0.08529864834864921,68,224,2,716,1010,11
0.0858904950607379,68,223,3,716,1010,11
0.08904930285177401,69,223,3,716,1011,11
0.09011745867255769,70,223,3,716,1012,11
0.09313875533003468,70,223,3,715,1011,11
0.09483475247522044,70,223,3,714,1010,11
0.09492683449029635,70,223,2,715,1010,11
0.09592309168730129,70,223,2,714,1009,11
0.0961671206412531,70,222,2,714,1008,11
0.09703291121573018,70,222,1,715,1008,11
0.09725954776979165,70,222,0,716,1008,11
0.09767563251734618,71,222,0,716,1009,11
0.0,68,244,2,686,1000,12
0.00187110670397006,68,243,3,686,1000,12
0.004486323735866978,68,242,4,686,1000,12
0.005275833747341126,68,241,5,686,1000,12
0.005633537839042027,68,241,4,687,1000,12
0.007582442888903676,68,241,3,688,1000,12
0.007582852666452516,68,241,2,689,1000,12
0.009285778093275021,69,241,2,689,1001,12
0.010000000000000009,68,242,2,689,1001,12
0.01376556176568769,68,241,3,689,1001,12
0.01427282930741029,68,242,3,689,1002,12
0.01767480428799042,69,242,3,689,1003,12
0.01811785724466214,70,242,3,689,1004,12
0.018396804095145467,70,242,2,690,1004,12
0.0196559536150922,70,241,3,690,1004,12
0.020182354225165986,70,240,4,690,1004,12
0.021919834921804073,71,240,4,690,1005,12
0.02480784885481905,72,240,4,690,1006,12
0.025939787720549154,72,239,5,690,1006,12
0.026333475087508225,72,239,4,691,1006,12
0.02805394110784694,72,238,5,691,1006,12
0.028085940778146124,72,237,6,691,1006,12
0.02909877709399755,73,237,6,691,1007,12
0.02948100207084746,73,236,7,691,1007,12
0.03064847680807233,74,236,7,691,1008,12
0.032741596935278595,74,235,8,691,1008,12
0.032895725537233154,74,236,8,691,1009,12
0.033270041262082245,74,236,7,692,1009,12
0.03333476368374275,74,235,8,692,1009,12
0.03394315098731191,74,234,9,692,1009,12
0.035023328400897356,75,234,9,692,1010,12
0.035295154207454264,75,234,8,693,1010,12
0.03539378116403974,75,234,7,694,1010,12
0.0354779421303042,75,234,6,695,1010,12
0.03555088943809237,75,234,6,694,1009,12
0.03710717254538776,75,234,5,695,1009,12
0.03962186060096406,76,234,5,695,1010,12
0.039843490716198825,76,234,4,696,1010,12
0.0407141791145435,76,233,5,696,1010,12
0.04091840772359845,76,233,5,695,1009,12
0.041958689401975106,76,232,6,695,1009,12
0.042337803020184896,76,231,7,695,1009,12
0.04272304791285853,76,230,8,695,1009,12
0.04372162619070987,77,230,8,695,1010,12
0.0452668732626588,78,230,8,695,1011,12
0.04598922419275062,78,230,7,696,1011,12
0.046054014823361744,78,229,8,696,1011,12
0.04644203420433137,78,228,9,696,1011,12
0.04846870807266503,78,228,8,697,1011,12
0.04899073592283751,78,227,9,697,1011,12
0.04950960562129888,79,227,9,697,1012,12
0.050242943493884556,79,226,10,697,1012,12
0.050677138731647337,79,226,9,698,1012,12
0.05164047375274983,78,226,9,698,1011,12
0.052557484578819307,79,226,9,698,1012,12
0.05271879066882231,79,225,10,698,1012,12
0.05306263286730504,79,225,9,699,1012,12
0.05309429503020798,79,224,10,699,1012,12
0.05318195336728816,79,224,9,700,1012,12
0.0535881038420876,79,224,8,701,1012,12
0.05364759692141208,79,223,8,701,1011,12
0.05371577450099707,79,223,8,700,1010,12
0.054644418983374396,79,223,7,701,1010,12
