ID,capture,SAT,titer
31,8,1,>2.2
31,8,2,>2.2
31,8,3,>2.2
31,9,1,>2.2
31,9,2,>2.2
31,9,3,>2.2
31,10,1,>2.2
31,10,2,>2.2
31,10,3,>2.2
31,12,1,>2.2
31,12,2,>2.2
31,12,3,>2.2
31,13,1,2.4
31,13,2,2.2
31,13,3,2.2
31,14,2,2.2
31,15,1,2.4
31,15,2,2.4
31,15,3,2.2
32,1,1,1.7596285428204
32,1,2,>2.2
32,1,3,1.63148237667901
32,3,1,1.56803639151864
32,3,2,>2.2
32,3,3,1.66485763943005
32,4,1,1.5
32,4,2,1.8
32,4,3,<1.3
32,5,1,1.81106280036708
32,5,2,>2.2
32,5,3,1.80902780648179
32,6,1,2.08336955343528
32,6,2,>2.2
32,6,3,1.67394427931882
32,7,1,1.86008570189709
32,7,2,>2.2
32,7,3,1.97299554788143
32,8,1,1.58671622941305
32,8,2,>2.2
32,8,3,1.59279599741772
32,9,1,1.6
32,9,2,1.7
32,9,3,1.4
32,10,1,<1.3
32,10,2,>2.2
32,10,3,1.67326246166427
32,11,1,1.9211876829883
32,11,2,1.64065531974905
32,11,3,1.41268475769208
32,12,1,2.02508721379062
32,12,2,1.95100039475255
32,12,3,1.51048117329814
32,13,1,2.2
32,13,2,2.4
32,13,3,<1.3
33,1,1,>2.2
33,1,2,>2.2
33,1,3,>2.2
33,3,1,>2.2
33,3,2,>2.2
33,3,3,1.68507819732233
33,4,1,>2.2
33,4,2,>2.2
33,4,3,>2.2
33,5,1,>2.2
33,5,2,>2.2
33,5,3,>2.2
33,6,1,>2.2
33,6,2,>2.2
33,6,3,>2.2
33,7,1,>2.2
33,7,2,>2.2
33,7,3,>2.2
33,8,1,>2.2
33,8,2,>2.2
33,8,3,>2.2
33,9,1,>2.2
33,9,2,1.8
33,9,3,>2.2
33,10,1,>2.2
33,10,2,>2.2
33,10,3,2.0671430329955
33,11,1,>2.2
33,11,2,>2.2
33,11,3,>2.2
33,12,1,>2.2
33,12,2,>2.2
33,12,3,>2.2
33,13,1,2.4
33,13,2,2.4
33,13,3,2.2
33,14,1,2.4
33,14,2,2.2
33,14,3,2.2
33,15,1,2.4
33,15,2,2.3
33,15,3,2
33,16,1,2.4
33,16,2,2.4
33,16,3,2.4
33,17,1,2.4
33,17,2,2.4
33,17,3,2.2
34,1,1,1.89693772074367
34,1,2,>2.2
34,1,3,1.90372806281883
34,3,1,<1.3
34,3,2,<1.3
34,3,3,<1.3
34,4,1,<1.3
34,4,2,1.9
34,4,3,<1.3
34,5,1,1.72169809296252
34,5,2,>2.2
34,5,3,1.55545301426864
34,6,1,2.09239437890344
34,6,2,>2.2
34,6,3,1.77599360293907
34,7,1,1.81187928554076
34,7,2,>2.2
34,7,3,1.91467484049789
34,8,1,1.42816402295896
34,8,2,2.04950570128322
34,8,3,1.58771574269275
34,9,1,1.5
34,9,2,1.7
34,9,3,1.3
34,10,1,>2.2
